iter	Passed	Remaining
406	6040	8800
407	6051	8781
408	6055	8749
409	6068	8732
410	6079	8713
411	6092	8694
412	6109	8683
413	6128	8674
414	6145	8663
415	6161	8649
416	6178	8637
417	6194	8625
418	6212	8614
419	6229	8602
420	6244	8588
421	6261	8575
422	6277	8562
423	6293	8550
424	6306	8532
425	6322	8518
426	6331	8495
427	6346	8481
428	6363	8469
429	6376	8452
430	6388	8434
431	6401	8416
432	6411	8395
433	6423	8376
434	6436	8359
435	6449	8342
436	6461	8324
437	6470	8302
438	6482	8283
439	6499	8272
440	6516	8259
441	6530	8244
442	6543	8227
443	6550	8202
444	6562	8184
445	6574	8166
446	6587	8149
447	6597	8129
448	6604	8104
449	6610	8079
450	6616	8054
451	6637	8047
452	6650	8030
453	6700	8058
454	6717	8046
455	6732	8031
456	6744	8013
457	6757	7996
458	6769	7979
459	6782	7962
460	6794	7943
461	6806	7926
462	6818	7908
463	6835	7895
464	6850	7881
465	6860	7861
466	6871	7843
467	6883	7825
468	6899	7812
469	6917	7800
470	6925	7778
471	6938	7762
472	6945	7738
473	6957	7720
474	6965	7698
475	6975	7678
476	6986	7660
477	6998	7642
478	7010	7625
479	7018	7603
480	7021	7576
481	7034	7559
482	7045	7541
483	7052	7519
484	7069	7506
485	7076	7483
486	7089	7468
487	7105	7454
488	7122	7443
489	7135	7426
490	7151	7413
491	7170	7403
492	7188	7392
493	7208	7383
494	7223	7369
495	7242	7359
496	7263	7351
497	7271	7330
498	7289	7318
499	7298	7298
500	7316	7287
501	7333	7274
502	7350	7262
503	7366	7249
504	7381	7235
505	7396	7220
506	7411	7207
507	7427	7193
508	7443	7180
509	7461	7168
510	7476	7154
511	7490	7139
512	7502	7122
513	7515	7106
514	7528	7089
515	7540	7072
516	7552	7055
517	7564	7038
518	7576	7021
519	7588	7004
520	7599	6987
521	7612	6970
522	7622	6951
523	7634	6935
524	7689	6956
525	7705	6943
526	7720	6929
527	7735	6915
528	7752	6902
529	7768	6888
530	7781	6873
531	7795	6857
532	7807	6840
533	7820	6824
534	7833	6808
535	7846	6792
536	7864	6781
537	7871	6759
